word_count,usd_pledged_real
31,0
45,2421
14,220
49,1
58,1283
20,52375
60,1205
49,453
53,8233
57,6240.57
19,0
16,12700
18,0
59,0
57,121857.33
14,664
9,395
32,789
35,250
8,1781
37,34268
32,0.81
30,650
49,6.29
27,701.66
52,15827
20,0
19,42174.03
52,160.6
29,57577.31
17,31.09
33,47266
39,1427.35
6,1395
39,13260
16,1373.37
26,8641.34
55,15663
26,17
38,17499.99
38,472.88
47,2100
25,23907
55,856
38,12656
39,0
23,63401
20,9401
12,8105
23,90
50,61365.16
28,6
58,3
28,4866.17
52,11055
34,1
28,0
10,9660
37,635
14,37199
19,65
57,150.73
29,587
14,124998
31,485
10,0
58,15425
28,0
45,535.09
58,3.09
60,2030
54,141
44,4795
58,2453
60,0
30,288.03
35,0
21,8157.01
28,10410
60,1410
11,93.44
57,1811
17,4045
32,1540
21,754.82
26,4646.65
39,97.62
45,110
13,1027
59,409
44,13347.43
34,474
50,2075
41,151
23,10414
47,1932.99
30,3755
18,2252.99
33,2.36
11,0
35,756
29,274.05
24,1055
26,156
50,9110.34
29,47273
60,22
48,50
12,5858
13,1805
37,1455
34,20269
57,74
16,0
60,10
16,472
8,8360
10,40
26,10
13,270
51,0
52,3012
32,0
38,14794
45,0
28,568
21,306.72
37,90771
59,0
15,7.4
43,1062.57
54,8447.09
80,4006
49,322.02
32,2535
32,25
57,65
14,260
37,3165
25,2354.5
18,95
18,1122.89
14,2331.32
29,0
28,25
18,20
18,875
50,1.43
47,0
33,0.53
10,3100.66
52,485.72
19,1355
35,8315
55,268192
53,16.58
16,8854.28
16,22.85
16,2883.5
39,15542.11
46,1647
28,942.25
57,91003.67
59,4237
39,8910.52
18,0
35,8085
29,2082.74
40,2
29,555
59,628.47
8,4670
29,923
35,9500
26,2161
38,843743
53,2036
12,0
25,5120
60,805
11,17.12
20,1825
43,4629
6,310
50,1041
32,8937.95
58,26407
51,75379.02
65,30
22,20313
19,850
56,642
19,113
26,18009
57,2739.22
27,0
4,3.69
29,423.72
52,19.72
31,4848.23
27,39209
35,75
34,45
38,0
47,23079
41,656
12,5
53,0
57,986.03
42,4813
55,23576.92
57,3944.43
29,0
36,100.35
19,0
15,0
37,10046
44,1620
60,0
13,165
4,0
11,1
38,4386
47,170
41,91
34,0
46,2164.77
23,1207
37,2585
15,1500
50,30066
53,25
26,176
21,1205
52,218
50,30.3
40,1
38,0
23,1736
23,0
28,1612
10,623.55
21,35
40,5965.5
32,5000
29,22421
13,1825.79
60,1600
31,6614
58,7259
39,745
17,0
39,0
56,160
20,1364.34
60,107
24,50
50,52
19,0
50,18431
30,1067
57,11335.49
9,686
17,12024
25,1900
36,11713
13,0
19,10328
29,2282.32
19,952.04
41,4264.68
20,1186.69
18,45
57,310
29,50
24,2415
11,3125
60,1765
17,100
34,376.94
20,3585
42,733
24,1145
37,3238
30,1152
60,227673
26,11511.1
11,2611
55,42.81
54,1076
57,2510
19,708
28,1.14
39,1278
27,625
50,709.07
28,3863.37
33,85.39
27,247
3,711.71
48,171
15,5263
38,60
30,272
19,1804
45,7782
19,5.5
30,0.58
56,0
27,810
18,1100.86
47,41759
39,2308.5
13,42.19
37,2670
56,16225.19
26,524.38
34,0
60,14414
54,2348
32,2190
16,325
59,40
25,0
31,10820
28,25816
22,976.08
13,0
27,3402.08
30,649.89
38,4236618.49
17,5080.2
25,0
60,100
18,447.8
6,0.53
11,6022
36,7897.6
18,1591
22,0
14,10.76
25,15018
28,0
35,785
23,50
59,0
47,209.1
48,13757
42,15040.33
27,0
47,5
14,7453
41,195.73
36,4208.17
46,66554.56
37,5650
46,130
81,80
21,1005
23,0
35,8952.22
42,140
31,0
43,566
7,0
48,38421.55
43,326
52,0
18,0
6,18625
26,1
8,1072
34,4636
28,41.8
56,39693
29,37522
55,0
52,12857
48,3712
27,3775
35,600
15,7498.77
15,0
60,8226.9
9,296
38,756
31,163.07
20,9125
31,1221
19,25712
33,17.98
37,8739.01
7,56.3
9,865
22,91
43,100
50,20
33,0
26,227
44,54.67
28,6000
38,10290
43,2575
34,0
57,1525.47
49,8294.63
43,815
7,30
19,320
22,935
40,87207.5
57,0
20,185
60,1034
20,0
28,2935
52,27208.27
36,1189
12,3318
52,101
22,60.9
31,165
16,8932.68
13,1185
12,6510
34,51.36
48,9123
35,80
32,14875
43,17771
59,0
59,20563
35,10
36,797
43,161
35,4600
39,734.81
22,561.07
25,0
20,93.49
60,947
45,16656
48,0
29,3005.33
44,200
25,1810
17,0
60,3184
20,5075
43,0
37,9137
14,0
53,2522
25,113
17,7069
51,3877
44,51.91
37,838.01
20,563.32
55,0
42,410
36,1250
15,10
58,104.76
23,0
21,10050
18,1
30,691
39,33
41,375
34,3520
28,2025
55,1.12
43,2708
10,0
57,20709.5
24,17563
64,12413
26,341
8,0
46,275
13,1713.93
54,1745
13,0
10,4279
43,131
37,1383
44,3189.75
58,2455
32,3606
34,345
22,0
33,5975
47,1525
60,61416
31,91972.5
38,200
19,0
17,31
51,525
14,0
25,20
31,3100
39,38.98
42,0
38,3000
33,377
30,4009.53
27,50
38,11001
56,23447
24,0
17,501
35,120
45,895
18,5145.77
23,41136.55
35,5189
53,0
21,4.66
10,15435.55
23,660
31,904.99
17,41.66
21,2840.3
19,590
55,32.83
9,0
60,4579.92
31,0
23,4370
43,0
26,18.12
11,9047
41,926
59,1010
15,13.73
13,5
50,3967.51
59,2179.85
43,116655.41
13,61315
42,35
18,1040
17,0
45,129311
35,24428
41,10556.66
24,3308.01
28,2589.3
32,2037.19
22,90715
56,0
11,1448
28,5772.15
39,31275.6
23,0
56,16261.68
41,596
26,1
35,0
44,16998
32,20330
40,0
16,5688
35,36
46,145
20,1041
17,5
19,10
57,17679
51,950.01
44,1100
40,810
32,355
54,1006
12,7375.51
24,38862.93
43,41224.95
47,1195
31,95
25,5043
30,50
39,0
38,4331
56,2580
9,0
39,3216
55,9408
55,2695
56,4810.38
30,50
48,0
33,1745
25,3151.26
58,65
48,33535.05
42,102937
56,263.95
20,3551
52,1356
